Property ID,Mortgage Loan Interest,Insurance,Tax,Other Fixed
MH 1171,21491.28,530.25,"$3,278.34 ",200
MH 1151,8200,343,"$1,663.30 ",200
MH 1334,0,0,0,200
MH 1340,,,,
MH 2015,,,"$1,533.81 ",
MH 1181,13000,610,"$1,921.01 ",200
MH 416,7867.07,362,"$1,904.12 ",200
MH 5401,7300,280,"$1,486.73 ",200
MH 1530,19500,1575,"$3,305.45 ",200
MH 1419,26000,766.6,4660,200
MH 1186,"$34,376.93 ","$1,289.50 ","$5,666.67 ",$200.00 
MH 1314,"$27,075.75 ","$1,289.80 ","$3,905.57 ",$200.00 
MH 1252,30218.02,1625.6,"$5,344.47 ",200
MH 3001,"$28,313.71 ","$1,358.50 ","$2,460.48 ",$200.00 
MH 1297,"$24,028.28 ","$1,023.50 ","$1,409.31 ",$200.00 
MH 1326,"$47,244.72 ","$2,418.58 ",5429.03,$200.00 
MH 1137,$0.00 ,0,0,$200.00 
MH 3505,$0.00 ,0,0,$200.00 
MH 1377,"$19,957.17 ","$1,122.70 ","$1,550.17 ",150
MH 1348PL,"$10,878.29 ",806,$917.21 ,150
MH 1348ST,,1053,"$1,362.09 ",$200.00 
MH 1270,11778,928.5,$718.32 ,$200.00 
MH 3430,"$17,000.00 ",,"$1,189.60 ",$200.00 
MH 1204,"$13,000.00 ",,$884.07 ,$200.00 
MH 1223,"17,082.66",,"$1,273.38 ",$200.00 
MH 1165,16000,,"$1,890.12 ",$200.00 
ML1348,,,,"13,845.00"
ML3111,,,,"12,900.00"
ML3806,,,,
ML1348,,,,
ML3111,,,,
ML3439,,,,
ML3507,,,,
ML1638,,,,
